rate_change_j2j,rate_change_estabs,nval
-.014514375,-.029565096,8
-.018173618,-.027134106,8
-.016588476,-.022325575,8
-.015080843,-.038154483,8
-.02820608,-.031251706,8
-.018389236,.011642873,8
-.011175839,-.021060295,8
-.019085787,-.025083125,8
-.021254998,-.037604511,7
-.021382499,-.023302361,7
-.01740345,-.036815047,7
-.016788363,-.03295847,7
-.017166786,-.02795133,7
-.020525746,-.028883621,7
-.01962506,-.02951774,7
-.012108706,-.046087943,5
-.012035288,-.036586948,5
-.011903957,-.019452386,5
-.018806193,-.028923891,5
-.014757004,-.035115145,5
-.023682762,-.029534794,4
-.01973433,-.049668744,4
-.015028857,-.030353703,4
-.026439063,-.034716733,4
-.020800862,-.030192927,4
-.022274531,-.020137146,4
-.016230583,-.017268151,4
-.021700308,-.023711428,4
-.020443816,-.036681198,5
-.031684339,-.014359497,5
-.019734833,-.035956994,5
-.016410641,-.027952775,5
-.01242014,-.036544785,5
-.017412458,-.035108939,2
-.013557762,-.036293745,2
-.018843561,-.051807195,2
-.019771863,-.031847447,2
-.019142004,-.036985122,7
-.018125087,-.020853885,7
-.015810462,-.025265858,7
-.012289913,-.016817719,7
-.011822462,-.02412542,7
-.010165704,-.020828228,7
-.014892293,-.024636403,7
-.012967117,-.027116336,4
-.018792622,-.032563224,4
-.014272349,-.019773781,4
-.022119604,-.036609977,4
-.025301676,-.03777317,1
-.027419511,-.044848718,2
-.02248754,-.03870669,2
-.017303847,-.022328719,1
-.030198433,-.041694239,2
-.04194754,-.048487127,2
-.014060013,-.022038169,6
-.014713142,-.021078177,6
-.012693722,-.048606992,6
-.018895052,-.028248012,6
-.018216135,-.038181566,6
-.013234179,-.020233609,6
-.027016181,-.036662355,2
-.022216573,-.030525222,2
-.014625525,-.030387968,6
-.013734326,-.021620728,6
-.010888251,-.022675581,6
-.01142665,-.017719463,6
-.012540698,-.019150391,6
-.015184605,-.014166676,6
-.021802705,-.035348386,8
-.023909349,-.039683476,8
-.020645171,-.036219023,8
-.022291034,-.024916388,8
-.026485749,-.038569942,8
-.021349913,-.041643992,8
-.028261762,-.049957767,8
-.0280075,-.032048218,8
-.0088282228,-.032359548,1
-.01669085,-.021624472,11
-.012292452,-.036237165,11
-.020402607,-.023134571,11
-.015520588,-.022728525,11
-.019438367,-.01688914,11
-.018754061,-.027525634,11
-.021491446,-.028465331,11
-.011240359,-.014934592,11
-.015220303,-.023604773,11
-.021400884,-.022806376,11
-.019425225,-.028499827,11
-.02407131,-.025114596,2
-.019120015,-.023221843,2
-.043033604,-.073864989,4
-.032083824,-.048588902,4
-.026769977,-.041304372,4
-.022608511,-.042308986,4
-.016421638,-.025298089,7
-.015381001,-.034129627,7
-.011568122,-.036259845,7
-.011487108,-.021464728,7
-.01281682,-.018980108,7
-.0222001,-.023725912,7
-.020523079,-.028449662,7
-.02437225,-.019415252,4
-.02894837,-.035765268,4
-.031621158,-.047707558,4
-.021150846,-.029080622,4
-.021118164,-.030169077,2
-.014433771,-.02665136,2
-.02274137,-.03473825,3
-.027795956,-.033293426,3
-.027731784,-.032045245,3
-.012656871,-.022988729,17
-.016136173,-.030142374,17
-.033467196,-.013793088,17
-.01281802,-.017476104,17
-.019983582,-.027449362,17
-.023341268,-.025133528,17
-.021946117,-.033300497,17
-.0171002,-.016465239,17
-.021592237,-.024801038,17
-.019908622,-.026773848,17
-.036734395,-.010202475,17
-.027195297,-.013375036,17
-.018724915,-.031760342,17
-.015809361,-.0081348047,17
-.013588697,-.023166679,17
-.01685046,-.027961381,17
-.010241251,-.025170624,17
-.032517403,-.039884351,4
-.043738365,-.091541365,4
-.029279403,-.049712777,4
-.035551779,-.061910152,4
-.022983436,-.033240497,6
-.03039008,-.037618086,6
-.021921759,-.029985145,6
-.019465055,-.037680104,6
-.020204946,-.021823503,6
-.025320072,-.032153383,6
-.02091505,-.042342283,9
-.0163632,-.053012617,9
-.01459188,-.027701274,9
-.028455522,-.029618099,9
-.02279475,-.042361654,9
-.019151531,-.056597985,9
-.025701545,-.047097415,9
-.02731546,-.049895428,9
-.025868665,-.035730675,9
-.0083199851,-.02054131,2
-.0090768673,-.021387145,2
-.015948247,-.01397869,7
-.019482806,-.029806271,7
-.019564886,-.022783421,7
-.018886462,-.023998283,7
-.014281303,-.04043784,7
-.019601425,-.027490139,7
-.016890276,-.029457152,7
-.039430879,-.024841748,2
-.025997832,-.01483877,2
